"publication_year per year","contributors.contributorType: Descending",Count
2015,ContactPerson,"498,972"
2015,Editor,"55,740"
2015,HostingInstitution,"51,835"
2015,DataManager,"46,289"
2015,Researcher,"22,639"
2015,Other,"16,495"
2015,ProjectLeader,"10,291"
2015,DataCollector,"8,739"
2015,RelatedPerson,"6,194"
2015,Supervisor,"5,030"
2015,Producer,"4,701"
2015,DataCurator,"2,693"
2015,Sponsor,"2,680"
2015,RightsHolder,"2,508"
2015,Distributor,"1,519"
2015,RegistrationAgency,995
2015,ResearchGroup,779
2015,Funder,319
2015,ProjectMember,161
2015,ProjectManager,53
2015,WorkPackageLeader,8
2016,DataCollector,"113,656"
2016,HostingInstitution,"55,395"
2016,DataManager,"42,600"
2016,Editor,"26,816"
2016,Other,"17,756"
2016,ContactPerson,"12,419"
2016,Researcher,"11,288"
2016,RelatedPerson,"8,258"
2016,DataCurator,"6,123"
2016,Supervisor,"5,726"
2016,ProjectLeader,"5,433"
2016,Producer,"5,289"
2016,ResearchGroup,"5,205"
2016,RightsHolder,"2,668"
2016,Sponsor,"1,743"
2016,Distributor,"1,526"
2016,RegistrationAgency,"1,025"
2016,Funder,333
2016,ProjectMember,179
2016,ProjectManager,46
2016,WorkPackageLeader,13
2016,RegistrationAuthority,1
2017,Other,"805,229"
2017,Funder,"179,122"
2017,DataCollector,"54,989"
2017,HostingInstitution,"54,217"
2017,DataManager,"45,407"
2017,Editor,"19,700"
2017,ContactPerson,"16,545"
2017,Researcher,"16,198"
2017,ProjectLeader,"10,455"
2017,DataCurator,"10,043"
2017,RelatedPerson,"9,705"
2017,Supervisor,"6,488"
2017,Producer,"4,250"
2017,ResearchGroup,"2,774"
2017,RightsHolder,"2,561"
2017,Distributor,"1,964"
2017,Sponsor,"1,394"
2017,RegistrationAgency,"1,223"
2017,ProjectMember,173
2017,WorkPackageLeader,61
2017,ProjectManager,37
2018,ContactPerson,"359,814"
2018,Other,"312,522"
2018,ResearchGroup,"126,656"
2018,HostingInstitution,"71,991"
2018,DataManager,"52,663"
2018,Researcher,"29,636"
2018,DataCollector,"15,037"
2018,Editor,"13,539"
2018,DataCurator,"12,599"
2018,RelatedPerson,"11,537"
2018,Supervisor,"7,937"
2018,Producer,"7,697"
2018,Distributor,"5,089"
2018,ProjectLeader,"3,411"
2018,RightsHolder,"3,258"
2018,Sponsor,"1,565"
2018,RegistrationAgency,"1,494"
2018,ProjectMember,305
2018,WorkPackageLeader,150
2018,Funder,110
2018,ProjectManager,80
2018,RegistrationAuthority,3
2019,ContactPerson,"260,140"
2019,DataManager,"153,059"
2019,Other,"121,052"
2019,HostingInstitution,"57,516"
2019,DataCollector,"37,997"
2019,Researcher,"37,817"
2019,DataCurator,"34,547"
2019,Editor,"32,349"
2019,ProjectLeader,"28,750"
2019,Producer,"19,129"
